State_Name,District_Name,Crop_Year,Season,Crop
Gujarat,AHMADABAD,1997,Summer     ,Bajra
Gujarat,AHMADABAD,1997,Summer     ,Groundnut
Gujarat,AHMADABAD,1998,Summer     ,Bajra
Gujarat,AHMADABAD,1998,Summer     ,Groundnut
Gujarat,AHMADABAD,1999,Summer     ,Bajra
Gujarat,AHMADABAD,1999,Summer     ,Groundnut
Gujarat,AHMADABAD,2000,Summer     ,Bajra
Gujarat,AHMADABAD,2000,Summer     ,Groundnut
Gujarat,AHMADABAD,2001,Summer     ,Bajra
Gujarat,AHMADABAD,2001,Summer     ,Groundnut
Gujarat,AHMADABAD,2002,Summer     ,Bajra
Gujarat,AHMADABAD,2002,Summer     ,Groundnut
Gujarat,AHMADABAD,2003,Summer     ,Bajra
Gujarat,AHMADABAD,2004,Summer     ,Bajra
Gujarat,AHMADABAD,2004,Summer     ,Rice
Gujarat,AHMADABAD,2005,Summer     ,Bajra
Gujarat,AHMADABAD,2005,Summer     ,Rice
Gujarat,AHMADABAD,2006,Summer     ,Bajra
Gujarat,AHMADABAD,2006,Summer     ,Groundnut
Gujarat,AHMADABAD,2006,Summer     ,Rice
Gujarat,AHMADABAD,2007,Summer     ,Bajra
Gujarat,AHMADABAD,2007,Summer     ,Groundnut
Gujarat,AHMADABAD,2007,Summer     ,Rice
Gujarat,AHMADABAD,2008,Summer     ,Bajra
Gujarat,AHMADABAD,2008,Summer     ,Groundnut
Gujarat,AHMADABAD,2008,Summer     ,Rice
Gujarat,AHMADABAD,2009,Summer     ,Bajra
Gujarat,AHMADABAD,2009,Summer     ,Rice
Gujarat,AHMADABAD,2010,Summer     ,Bajra
Gujarat,AHMADABAD,2010,Summer     ,Moong(Green Gram)
Gujarat,AHMADABAD,2010,Summer     ,Rice
Gujarat,AHMADABAD,2011,Summer     ,Bajra
Gujarat,AHMADABAD,2011,Summer     ,Moong(Green Gram)
Gujarat,AHMADABAD,2011,Summer     ,Rice
Gujarat,AHMADABAD,2012,Summer     ,Bajra
Gujarat,AHMADABAD,2012,Summer     ,Moong(Green Gram)
Gujarat,AHMADABAD,2012,Summer     ,Rice
Gujarat,AMRELI,1997,Summer     ,Bajra
Gujarat,AMRELI,1997,Summer     ,Groundnut
Gujarat,AMRELI,1998,Summer     ,Bajra
Gujarat,AMRELI,1998,Summer     ,Groundnut
Gujarat,AMRELI,1999,Summer     ,Bajra
Gujarat,AMRELI,1999,Summer     ,Groundnut
Gujarat,AMRELI,2000,Summer     ,Bajra
Gujarat,AMRELI,2000,Summer     ,Groundnut
Gujarat,AMRELI,2001,Summer     ,Bajra
Gujarat,AMRELI,2001,Summer     ,Groundnut
Gujarat,AMRELI,2002,Summer     ,Bajra
Gujarat,AMRELI,2002,Summer     ,Groundnut
Gujarat,AMRELI,2003,Summer     ,Bajra
Gujarat,AMRELI,2003,Summer     ,Groundnut
Gujarat,AMRELI,2004,Summer     ,Bajra
Gujarat,AMRELI,2004,Summer     ,Groundnut
Gujarat,AMRELI,2005,Summer     ,Bajra
Gujarat,AMRELI,2005,Summer     ,Groundnut
Gujarat,AMRELI,2006,Summer     ,Bajra
Gujarat,AMRELI,2006,Summer     ,Groundnut
Gujarat,AMRELI,2007,Summer     ,Bajra
Gujarat,AMRELI,2007,Summer     ,Groundnut
Gujarat,AMRELI,2008,Summer     ,Bajra
Gujarat,AMRELI,2008,Summer     ,Groundnut
Gujarat,AMRELI,2009,Summer     ,Bajra
Gujarat,AMRELI,2009,Summer     ,Groundnut
Gujarat,AMRELI,2010,Summer     ,Bajra
Gujarat,AMRELI,2010,Summer     ,Groundnut
Gujarat,AMRELI,2010,Summer     ,Moong(Green Gram)
Gujarat,AMRELI,2010,Summer     ,Sesamum
Gujarat,AMRELI,2011,Summer     ,Bajra
Gujarat,AMRELI,2011,Summer     ,Groundnut
Gujarat,AMRELI,2011,Summer     ,Moong(Green Gram)
Gujarat,AMRELI,2011,Summer     ,Sesamum
Gujarat,AMRELI,2012,Summer     ,Bajra
Gujarat,AMRELI,2012,Summer     ,Groundnut
Gujarat,AMRELI,2012,Summer     ,Moong(Green Gram)
Gujarat,AMRELI,2012,Summer     ,Sesamum
Gujarat,ANAND,2003,Summer     ,Bajra
Gujarat,ANAND,2003,Summer     ,Groundnut
Gujarat,ANAND,2003,Summer     ,Rice
Gujarat,ANAND,2004,Summer     ,Bajra
Gujarat,ANAND,2004,Summer     ,Groundnut
Gujarat,ANAND,2004,Summer     ,Rice
Gujarat,ANAND,2005,Summer     ,Bajra
Gujarat,ANAND,2005,Summer     ,Groundnut
Gujarat,ANAND,2005,Summer     ,Rice
Gujarat,ANAND,2006,Summer     ,Bajra
Gujarat,ANAND,2006,Summer     ,Groundnut
Gujarat,ANAND,2006,Summer     ,Rice
Gujarat,ANAND,2007,Summer     ,Bajra
Gujarat,ANAND,2007,Summer     ,Groundnut
Gujarat,ANAND,2007,Summer     ,Rice
Gujarat,ANAND,2008,Summer     ,Bajra
Gujarat,ANAND,2008,Summer     ,Groundnut
Gujarat,ANAND,2008,Summer     ,Rice
Gujarat,ANAND,2009,Summer     ,Bajra
Gujarat,ANAND,2009,Summer     ,Groundnut
Gujarat,ANAND,2009,Summer     ,Rice
Gujarat,ANAND,2010,Summer     ,Bajra
Gujarat,ANAND,2010,Summer     ,Groundnut
Gujarat,ANAND,2010,Summer     ,Moong(Green Gram)
Gujarat,ANAND,2010,Summer     ,Rice
Gujarat,ANAND,2011,Summer     ,Bajra
Gujarat,ANAND,2011,Summer     ,Groundnut
Gujarat,ANAND,2011,Summer     ,Maize
Gujarat,ANAND,2011,Summer     ,Moong(Green Gram)
Gujarat,ANAND,2011,Summer     ,Rice
Gujarat,ANAND,2011,Summer     ,Urad
Gujarat,ANAND,2012,Summer     ,Bajra
Gujarat,ANAND,2012,Summer     ,Groundnut
Gujarat,ANAND,2012,Summer     ,Maize
Gujarat,ANAND,2012,Summer     ,Moong(Green Gram)
Gujarat,ANAND,2012,Summer     ,Rice
Gujarat,BANAS KANTHA,1997,Summer     ,Bajra
Gujarat,BANAS KANTHA,1997,Summer     ,Groundnut
Gujarat,BANAS KANTHA,1998,Summer     ,Bajra
Gujarat,BANAS KANTHA,1998,Summer     ,Groundnut
Gujarat,BANAS KANTHA,1999,Summer     ,Bajra
Gujarat,BANAS KANTHA,1999,Summer     ,Groundnut
Gujarat,BANAS KANTHA,2000,Summer     ,Bajra
Gujarat,BANAS KANTHA,2000,Summer     ,Groundnut
Gujarat,BANAS KANTHA,2001,Summer     ,Bajra
Gujarat,BANAS KANTHA,2001,Summer     ,Groundnut
Gujarat,BANAS KANTHA,2002,Summer     ,Bajra
Gujarat,BANAS KANTHA,2002,Summer     ,Groundnut
Gujarat,BANAS KANTHA,2003,Summer     ,Bajra
Gujarat,BANAS KANTHA,2003,Summer     ,Groundnut
Gujarat,BANAS KANTHA,2004,Summer     ,Bajra
Gujarat,BANAS KANTHA,2004,Summer     ,Groundnut
Gujarat,BANAS KANTHA,2005,Summer     ,Bajra
Gujarat,BANAS KANTHA,2005,Summer     ,Groundnut
Gujarat,BANAS KANTHA,2006,Summer     ,Bajra
Gujarat,BANAS KANTHA,2006,Summer     ,Groundnut
Gujarat,BANAS KANTHA,2007,Summer     ,Bajra
Gujarat,BANAS KANTHA,2007,Summer     ,Groundnut
Gujarat,BANAS KANTHA,2008,Summer     ,Bajra
Gujarat,BANAS KANTHA,2008,Summer     ,Groundnut
Gujarat,BANAS KANTHA,2009,Summer     ,Bajra
Gujarat,BANAS KANTHA,2009,Summer     ,Groundnut
Gujarat,BANAS KANTHA,2010,Summer     ,Bajra
Gujarat,BANAS KANTHA,2010,Summer     ,Groundnut
Gujarat,BANAS KANTHA,2010,Summer     ,Moong(Green Gram)
Gujarat,BANAS KANTHA,2011,Summer     ,Bajra
Gujarat,BANAS KANTHA,2011,Summer     ,Groundnut
Gujarat,BANAS KANTHA,2011,Summer     ,Moong(Green Gram)
Gujarat,BANAS KANTHA,2012,Summer     ,Bajra
Gujarat,BANAS KANTHA,2012,Summer     ,Groundnut
Gujarat,BANAS KANTHA,2012,Summer     ,Moong(Green Gram)
Gujarat,BHARUCH,1997,Summer     ,Bajra
Gujarat,BHARUCH,1997,Summer     ,Groundnut
Gujarat,BHARUCH,1998,Summer     ,Bajra
Gujarat,BHARUCH,1998,Summer     ,Groundnut
Gujarat,BHARUCH,1999,Summer     ,Bajra
Gujarat,BHARUCH,1999,Summer     ,Groundnut
Gujarat,BHARUCH,2000,Summer     ,Bajra
Gujarat,BHARUCH,2000,Summer     ,Groundnut
Gujarat,BHARUCH,2001,Summer     ,Bajra
Gujarat,BHARUCH,2001,Summer     ,Groundnut
Gujarat,BHARUCH,2001,Summer     ,Rice
Gujarat,BHARUCH,2002,Summer     ,Bajra
Gujarat,BHARUCH,2002,Summer     ,Groundnut
Gujarat,BHARUCH,2002,Summer     ,Rice
Gujarat,BHARUCH,2003,Summer     ,Bajra
Gujarat,BHARUCH,2003,Summer     ,Groundnut
Gujarat,BHARUCH,2003,Summer     ,Rice
Gujarat,BHARUCH,2004,Summer     ,Bajra
Gujarat,BHARUCH,2004,Summer     ,Groundnut
Gujarat,BHARUCH,2004,Summer     ,Rice
Gujarat,BHARUCH,2005,Summer     ,Bajra
Gujarat,BHARUCH,2005,Summer     ,Groundnut
Gujarat,BHARUCH,2005,Summer     ,Rice
Gujarat,BHARUCH,2006,Summer     ,Bajra
Gujarat,BHARUCH,2006,Summer     ,Groundnut
Gujarat,BHARUCH,2006,Summer     ,Rice
Gujarat,BHARUCH,2007,Summer     ,Bajra
Gujarat,BHARUCH,2007,Summer     ,Groundnut
Gujarat,BHARUCH,2007,Summer     ,Rice
Gujarat,BHARUCH,2008,Summer     ,Bajra
Gujarat,BHARUCH,2008,Summer     ,Groundnut
Gujarat,BHARUCH,2008,Summer     ,Rice
Gujarat,BHARUCH,2009,Summer     ,Bajra
Gujarat,BHARUCH,2009,Summer     ,Groundnut
Gujarat,BHARUCH,2009,Summer     ,Rice
Gujarat,BHARUCH,2010,Summer     ,Bajra
Gujarat,BHARUCH,2010,Summer     ,Groundnut
Gujarat,BHARUCH,2010,Summer     ,Maize
Gujarat,BHARUCH,2010,Summer     ,Moong(Green Gram)
Gujarat,BHARUCH,2010,Summer     ,Rice
Gujarat,BHARUCH,2010,Summer     ,Sesamum
Gujarat,BHARUCH,2011,Summer     ,Bajra
Gujarat,BHARUCH,2011,Summer     ,Groundnut
Gujarat,BHARUCH,2011,Summer     ,Maize
Gujarat,BHARUCH,2011,Summer     ,Moong(Green Gram)
Gujarat,BHARUCH,2011,Summer     ,Rice
Gujarat,BHARUCH,2011,Summer     ,Sesamum
Gujarat,BHARUCH,2012,Summer     ,Bajra
Gujarat,BHARUCH,2012,Summer     ,Groundnut
Gujarat,BHARUCH,2012,Summer     ,Maize
Gujarat,BHARUCH,2012,Summer     ,Moong(Green Gram)
Gujarat,BHARUCH,2012,Summer     ,Rice
Gujarat,BHARUCH,2012,Summer     ,Sesamum
Gujarat,BHAVNAGAR,1997,Summer     ,Groundnut
Gujarat,BHAVNAGAR,1998,Summer     ,Groundnut
Gujarat,BHAVNAGAR,1999,Summer     ,Bajra
Gujarat,BHAVNAGAR,1999,Summer     ,Groundnut
Gujarat,BHAVNAGAR,2000,Summer     ,Groundnut
Gujarat,BHAVNAGAR,2001,Summer     ,Groundnut
Gujarat,BHAVNAGAR,2002,Summer     ,Bajra
Gujarat,BHAVNAGAR,2002,Summer     ,Groundnut
Gujarat,BHAVNAGAR,2003,Summer     ,Groundnut
Gujarat,BHAVNAGAR,2004,Summer     ,Bajra
Gujarat,BHAVNAGAR,2004,Summer     ,Groundnut
Gujarat,BHAVNAGAR,2005,Summer     ,Bajra
Gujarat,BHAVNAGAR,2005,Summer     ,Groundnut
Gujarat,BHAVNAGAR,2006,Summer     ,Bajra
Gujarat,BHAVNAGAR,2006,Summer     ,Groundnut
Gujarat,BHAVNAGAR,2007,Summer     ,Bajra
Gujarat,BHAVNAGAR,2007,Summer     ,Groundnut
Gujarat,BHAVNAGAR,2008,Summer     ,Bajra
Gujarat,BHAVNAGAR,2008,Summer     ,Groundnut
Gujarat,BHAVNAGAR,2009,Summer     ,Bajra
Gujarat,BHAVNAGAR,2009,Summer     ,Groundnut
Gujarat,BHAVNAGAR,2010,Summer     ,Bajra
Gujarat,BHAVNAGAR,2010,Summer     ,Groundnut
Gujarat,BHAVNAGAR,2010,Summer     ,Moong(Green Gram)
Gujarat,BHAVNAGAR,2010,Summer     ,Sesamum
Gujarat,BHAVNAGAR,2011,Summer     ,Bajra
Gujarat,BHAVNAGAR,2011,Summer     ,Groundnut
Gujarat,BHAVNAGAR,2011,Summer     ,Moong(Green Gram)
Gujarat,BHAVNAGAR,2011,Summer     ,Onion
Gujarat,BHAVNAGAR,2011,Summer     ,Sesamum
Gujarat,BHAVNAGAR,2012,Summer     ,Bajra
Gujarat,BHAVNAGAR,2012,Summer     ,Groundnut
Gujarat,BHAVNAGAR,2012,Summer     ,Moong(Green Gram)
Gujarat,BHAVNAGAR,2012,Summer     ,Onion
Gujarat,DANG,1997,Summer     ,Groundnut
Gujarat,DANG,1998,Summer     ,Groundnut
Gujarat,DANG,1999,Summer     ,Groundnut
Gujarat,DANG,2000,Summer     ,Groundnut
Gujarat,DANG,2001,Summer     ,Groundnut
Gujarat,DANG,2002,Summer     ,Groundnut
Gujarat,DANG,2004,Summer     ,Groundnut
Gujarat,DANG,2005,Summer     ,Groundnut
Gujarat,DANG,2006,Summer     ,Groundnut
Gujarat,DANG,2007,Summer     ,Groundnut
Gujarat,DANG,2008,Summer     ,Groundnut
Gujarat,DANG,2009,Summer     ,Groundnut
Gujarat,DANG,2010,Summer     ,Groundnut
Gujarat,DANG,2010,Summer     ,Moong(Green Gram)
Gujarat,DANG,2011,Summer     ,Groundnut
Gujarat,DANG,2011,Summer     ,Moong(Green Gram)
Gujarat,DANG,2012,Summer     ,Groundnut
Gujarat,DANG,2012,Summer     ,Moong(Green Gram)
Gujarat,DOHAD,2003,Summer     ,Groundnut
Gujarat,DOHAD,2004,Summer     ,Bajra
Gujarat,DOHAD,2004,Summer     ,Groundnut
Gujarat,DOHAD,2005,Summer     ,Bajra
Gujarat,DOHAD,2005,Summer     ,Groundnut
Gujarat,DOHAD,2006,Summer     ,Groundnut
Gujarat,DOHAD,2007,Summer     ,Groundnut
Gujarat,DOHAD,2008,Summer     ,Groundnut
Gujarat,DOHAD,2009,Summer     ,Groundnut
Gujarat,DOHAD,2010,Summer     ,Groundnut
Gujarat,DOHAD,2010,Summer     ,Moong(Green Gram)
Gujarat,DOHAD,2011,Summer     ,Groundnut
Gujarat,DOHAD,2011,Summer     ,Moong(Green Gram)
Gujarat,DOHAD,2012,Summer     ,Groundnut
Gujarat,DOHAD,2012,Summer     ,Moong(Green Gram)
Gujarat,GANDHINAGAR,1997,Summer     ,Bajra
Gujarat,GANDHINAGAR,1997,Summer     ,Groundnut
Gujarat,GANDHINAGAR,1998,Summer     ,Bajra
Gujarat,GANDHINAGAR,1998,Summer     ,Groundnut
Gujarat,GANDHINAGAR,1999,Summer     ,Bajra
Gujarat,GANDHINAGAR,1999,Summer     ,Groundnut
Gujarat,GANDHINAGAR,2000,Summer     ,Bajra
Gujarat,GANDHINAGAR,2000,Summer     ,Groundnut
Gujarat,GANDHINAGAR,2001,Summer     ,Bajra
Gujarat,GANDHINAGAR,2001,Summer     ,Groundnut
Gujarat,GANDHINAGAR,2002,Summer     ,Bajra
Gujarat,GANDHINAGAR,2002,Summer     ,Groundnut
Gujarat,GANDHINAGAR,2003,Summer     ,Bajra
Gujarat,GANDHINAGAR,2003,Summer     ,Groundnut
Gujarat,GANDHINAGAR,2004,Summer     ,Bajra
Gujarat,GANDHINAGAR,2004,Summer     ,Groundnut
Gujarat,GANDHINAGAR,2005,Summer     ,Bajra
Gujarat,GANDHINAGAR,2005,Summer     ,Groundnut
Gujarat,GANDHINAGAR,2005,Summer     ,Rice
Gujarat,GANDHINAGAR,2006,Summer     ,Bajra
Gujarat,GANDHINAGAR,2006,Summer     ,Groundnut
Gujarat,GANDHINAGAR,2006,Summer     ,Rice
Gujarat,GANDHINAGAR,2007,Summer     ,Bajra
Gujarat,GANDHINAGAR,2007,Summer     ,Groundnut
Gujarat,GANDHINAGAR,2007,Summer     ,Rice
